telephone,nom_complet,email,points_fidelite
03 58 00 38 90,THIERRY MEYER,thierry.meyer@voila.fr,269
140265518,Léger Alix,alix.léger@dbmail.com,10
0362613780,MARTINEZ MICHELLE,,276
01 58 69 06 05,Hélène Jacquot,,111
0214195262,Breton Dorothée,,191
0463415151,Bertin Alexandre,alexandre.bertin@dbmail.com,458
+33358153601,BLANCHET PHILIPPE,philippe.blanchet@noos.fr,372
03 58 46 46 74,Monnier Frédéric,,286
+33(0)237050586,Luc Pichon,,447
180925843,Le Gall Michel,michel.legall@yahoo.fr,381
04 83 87 44 91,Le Gall Léon,léon.legall@laposte.net,299
579313853,Jacob Maurice,,325
363239703,Maurice Da Silva,maurice.dasilva@sfr.fr,51
322664981,MICHÈLE SANCHEZ,,471
+33(0)554685371,Yves Dijoux,,220
+33475635840,Noël Mallet,noël.mallet@free.fr,231
390016279,Étienne Olivie,olivie.étienne@gmail.com,416
556934945,RENARD ROGER,roger.renard@laposte.net,18
01 56 92 42 70,JULIEN BERTIN,,408
01 82 18 68 51,ÉMILE LECLERCQ,émile.leclercq@laposte.net,206
533861032,Virginie Hamon,virginie.hamon@live.com,365
+33470794639,JEANNINE RAYNAUD,jeannine.raynaud@bouygtel.fr,214
+33456872891,Antoine Emmanuelle,emmanuelle.antoine@laposte.net,17
354166383,NOËL JULES,,357
02 99 93 76 37,ÉTIENNE ÉMILE,,172
0360374239,JULIE GRÉGOIRE,,178
413317922,Jean Boulanger,,405
532253746,Céline Reynaud,,254
05.62.09.63.80,Coulon Émilie,émilie.coulon@live.com,407
0362514778,BENOÎT CHARTIER,benoît.chartier@bouygtel.fr,204
540097311,Martineau Jeanne,,272
04 92 41 42 22,Gillet Renée,renée.gillet@orange.fr,308
04 88 35 49 16,Éléonore Lemaître,,391
438136117,Corinne Maréchal,,420
178199287,Laurence Foucher,,70
04.69.90.22.28,Henriette Pelletier,,340
234664239,JÉRÔME BOURDON,,308
323420851,Bernier Lucie,,76
0432409117,Gérard Colin,,144
04.22.17.18.04,Alix Leclercq,alix.leclercq@sfr.fr,16
04 92 04 83 80,ROLLAND AIMÉE,aimée.rolland@voila.fr,50
07 82 83 75 15,Caron Alexandrie,,77
134792829,Jeanne Lebreton,,25
05 32 76 06 29,Rossi Éric,,366
01.64.65.34.91,Guilbert Claudine,,41
04.87.33.29.19,Jeannine Parent,jeannine.parent@orange.fr,316
07 32 16 11 15,Honoré Pottier,,324
149681555,MARCEL DA SILVA,marcel.dasilva@laposte.net,288
04.92.40.83.78,René Dupré,rené.dupré@free.fr,54
0565882976,Leroux Daniel,,363
0389646818,Munoz Virginie,,405
153354523,Boutin Alexandria,,308
0535342363,Bonneau Anouk,anouk.bonneau@tiscali.fr,125
+33(0)245503866,Valentin Aurélie,,231
03.79.43.37.71,LEFÈVRE ZACHARIE,zacharie.lefèvre@sfr.fr,212
272720279,Noël Antoine,,376
478928852,PAULETTE MEYER,paulette.meyer@bouygtel.fr,308
05.35.17.87.90,Briand Caroline,,417
04 73 05 35 37,LEMAÎTRE MARGOT,,200
+33(0)563761699,Lemaître Augustin,,463
05.45.88.45.29,Sauvage Catherine,catherine.sauvage@tiscali.fr,374
+33(0)258136912,Delannoy Sophie,sophie.delannoy@hotmail.fr,438
450526559,Lucas Marcel,marcel.lucas@wanadoo.fr,88
535149092,Christine Louis,,219
359648127,Franck Leduc,,355
04 90 02 24 82,Roger Parent,roger.parent@tele2.fr,136
0390288107,ANAÏS BOUVIER,anaïs.bouvier@orange.fr,296
02.45.27.95.04,Payet Aurélie,,93
156263968,Marie Laure,laure.marie@wanadoo.fr,47
02 30 47 99 20,Delahaye Michelle,michelle.delahaye@bouygtel.fr,177
478967224,MICHELLE PRUVOST,,47
04 15 92 00 89,Maryse Da Silva,,256
+33(0)389501557,Brigitte Leleu,brigitte.leleu@laposte.net,364
351762009,Augustin Rémy,,378
596777969,Hervé Audrey,,57
02.46.15.57.32,Pinto Roland,roland.pinto@dbmail.com,190
01.72.53.99.83,Rousset Aurore,,467
02.49.21.57.12,Anastasie Foucher,,109
427456959,Tristan Cousin,,350
02 77 32 63 25,FRANÇOISE ROUSSEL,,379
141109177,Julien Wagner,julien.wagner@yahoo.fr,82
05 33 74 89 62,Audrey Gilles,,109
483965424,FRÉDÉRIC SALMON,frédéric.salmon@laposte.net,82
05.34.83.08.60,Duval Sébastien,,29
02 45 19 08 69,Boulanger Édith,,191
375680656,Arthur Klein,arthur.klein@sfr.fr,364
+33(0)490508332,Legros Marcelle,,387
0480428446,Philippe Marthe,marthe.philippe@wanadoo.fr,323
479021395,CLAUDINE PEREIRA,claudine.pereira@tiscali.fr,305
02.14.70.64.19,Cousin Alfred,,279
329599287,Diallo Théophile,,304
0134934800,MANON JOSEPH,,380
02 21 05 78 38,Audrey Millet,audrey.millet@gmail.com,313
03 87 47 74 39,Alexandre Christine,,293
03.54.13.66.80,PÉNÉLOPE COULON,pénélope.coulon@tiscali.fr,136
04 22 63 76 36,PATRICIA PEREIRA,patricia.pereira@dbmail.com,241
04 27 98 90 46,THIBAUT CHAUVEAU,,484
561436580,Guibert Cécile,,493
04 70 61 72 73,Chevalier Sophie,sophie.chevalier@tiscali.fr,261
03 84 99 27 09,LECLERC SÉBASTIEN,sébastien.leclerc@gmail.com,120
04.98.16.71.24,DUPUIS CAPUCINE,capucine.dupuis@club-internet.fr,311
+33563291889,Lacombe Arnaude,arnaude.lacombe@bouygtel.fr,83
0390934659,FERREIRA GEORGES,,489
04 32 00 08 76,Gabrielle Lambert,,475
0415259871,CHARLES PINEAU,,88
03.87.66.02.02,GOSSELIN CHARLOTTE,charlotte.gosselin@voila.fr,233
+33(0)489131385,ÉLISE PETITJEAN,élise.petitjean@voila.fr,285
05.82.36.00.78,ANNE MORVAN,anne.morvan@ifrance.com,242
03 75 57 23 47,Yves Gimenez,,362
03.56.10.46.26,LUCAS MARCELLE,marcelle.lucas@sfr.fr,381
0177445602,PATRICIA HUMBERT,,450
269546103,COLIN VICTOIRE,victoire.colin@sfr.fr,290
04 57 14 79 91,Tristan Fabre,,407
04 80 75 83 42,Allard Laurent,,311
02 18 46 02 87,Maury Maurice,maurice.maury@orange.fr,284
04.92.42.71.52,ÉLISABETH FOUCHER,,133
475800229,Stéphanie Letellier,stéphanie.letellier@sfr.fr,117
03.54.78.17.07,Ruiz Luce,,79
05.24.22.94.69,Leleu Sabine,,247
361552162,Gillet Jeannine,,362
0354097011,Gilbert Morel,,155
0141649557,Garcia Laetitia,,236
0249767775,Bernard Garcia,,24
02.99.45.60.68,PARENT ÉLÉONORE,,240
02.38.49.61.11,LUCY GONZALEZ,lucy.gonzalez@live.com,233
370923794,Roy Marguerite,,235
+33(0)384061402,Tessier Laurent,laurent.tessier@hotmail.fr,54
0359973278,JEAN JÉRÔME,,115
02 72 86 75 90,Cohen Gilbert,gilbert.cohen@free.fr,37
04 56 34 90 26,Martin Gomes,,203
03 89 83 37 55,GILBERT CARON,gilbert.caron@hotmail.fr,172
02.99.25.64.41,JULIE BOULANGER,julie.boulanger@laposte.net,212
0229038591,VOISIN HENRIETTE,henriette.voisin@gmail.com,471
+33(0)176088769,Gérard Alexandre,,348
01 78 85 51 79,VÉRONIQUE LE GOFF,véronique.legoff@orange.fr,412
+33175482632,PINTO ALEXANDRIA,,362
381625026,Dupuy Laurence,,58
174673838,Schneider Julien,julien.schneider@hotmail.fr,14
497144262,HÉLÈNE BLANC,,345
456750550,RAYNAUD ANNE,,384
145391646,Louise Brun,,14
+33579693761,Constance Samson,,245
02 62 44 96 66,Michaud Virginie,virginie.michaud@tele2.fr,335
547670921,William Chauvet,,312
+33(0)489784511,Christelle Meyer,,459
02 21 44 04 83,BERTIN AUGUSTIN,,428
02.18.70.12.80,NGUYEN MARCELLE,marcelle.nguyen@tiscali.fr,313
04 70 91 95 77,Vasseur Adélaïde,,137
0383267898,Luce Grégoire,luce.grégoire@orange.fr,273
182006852,Michelle Bousquet,,312
05 47 87 23 09,François Collin,françois.collin@laposte.net,411
257126715,Catherine Deschamps,,168
02.61.39.08.95,CLAUDINE LEBLANC,,52
04.68.46.10.34,ADRIENNE BONNET,adrienne.bonnet@hotmail.fr,184
540738094,Clerc Philippe,,469
05 87 24 12 84,Coste Pauline,,327
0426729328,Laetitia Guilbert,,357
+33472925818,MARYSE MORVAN,,217
05 17 98 22 29,JEANNINE DUMONT,,444
385036238,Nath Paul,nath.paul@laposte.net,221
261866948,Legros Stéphane,,484
05.82.45.88.09,Gay Henri,henri.gay@yahoo.fr,328
04 78 91 01 19,BERTRAND GUILLON,,87
0156447148,Gérard Anastasie,,297
0485844945,Alice Martinez,,25
05 46 39 52 48,LECOMTE ROGER,,273
0388997242,Philippe André,,330
368199444,POTIER AUDREY,,90
476523912,LEROY GRÉGOIRE,grégoire.leroy@live.com,240
04 94 91 92 12,OCÉANE GUILLON,,122
229192559,Raymond Lopez,,404
04.57.53.66.38,Perret Franck,,40
+33244692433,LEGENDRE ALPHONSE,,472
495069688,Gallet Jules,,461
524780159,Marcel Masson,marcel.masson@wanadoo.fr,436
0471729415,Constance Mahe,,188
534981794,Boutin Stéphane,stéphane.boutin@laposte.net,146
+33(0)467900374,RAYNAUD ALICE,alice.raynaud@tele2.fr,373
02.32.84.59.69,Marcelle Loiseau,,50
02.40.97.84.05,Maurice Rocher,,113
0238752174,Barbier Thérèse,thérèse.barbier@gmail.com,453
02 31 36 98 34,VERDIER MARGUERITE,,157
05 33 62 45 02,Charlotte Léger,,89
02 55 79 63 93,HONORÉ FERRAND,honoré.ferrand@orange.fr,427
0540965752,Loiseau Alix,,464
142026147,PELTIER MICHÈLE,michèle.peltier@club-internet.fr,12
+33556239200,Nicole Millet,,442
03.80.28.49.19,Thomas Perez,,187
473446559,MALLET MARGARET,,46
+33(0)269019394,MARGUERITE DOS SANTOS,marguerite.dossantos@live.com,158
+33(0)174886006,Michel Noël,,56
0471265812,RÉMY NOÉMI,noémi.rémy@sfr.fr,423
04.92.75.31.28,FERNANDES THÉRÈSE,,154
04.34.70.19.19,MAGGIE FONTAINE,,320
04 22 28 35 08,David Blanchet,,142
0229123058,Evrard Camille,camille.evrard@hotmail.fr,358
02 14 08 86 96,CHRÉTIEN PATRICK,,76
05.35.27.28.44,Wagner Yves,yves.wagner@ifrance.com,15
0358588884,Martin Zoé,,134
02 54 05 13 41,Jules Coulon,,196
05 08 53 33 92,Bouvier Julien,,323
03 73 98 43 36,Arnaud Antoine,,438
06.08.72.67.41,Dupuis Manon,,452
04.91.40.95.28,Cécile Martel,,400
01 41 53 96 29,CARPENTIER RENÉE,,127
+33(0)594175368,Maillet Éléonore,,192
228485803,Zoé Besson,,472
02 21 96 43 25,Marcel Rousseau,,150
04 30 73 13 55,Capucine Legendre,,475
03.39.83.62.04,LEBRETON ÉDITH,,188
04 63 08 87 65,Bodin Sabine,,210
+33230825647,Marianne Fleury,marianne.fleury@sfr.fr,21
240083248,Barbe Alexandria,alexandria.barbe@noos.fr,462
+33(0)130145681,Dos Santos Georges,,415
05 34 00 11 19,Mallet Yves,,122
238962517,ALEXANDRIE BLONDEL,alexandrie.blondel@yahoo.fr,138
04 94 87 91 91,Noémi Texier,,417
253373650,LEMOINE SOPHIE,,455
04.94.10.39.86,Benjamin Charpentier,,242
01.55.93.60.04,LE ROUX ÉTIENNE,étienne.leroux@sfr.fr,238
02.52.52.66.19,Moulin Thibault,,268
05.53.10.95.22,CAMUS LOUIS,,319
219323072,André Navarro,,336
469676926,OLIVIER DUPONT,,366
05 58 09 89 93,Boucher Camille,,292
01 70 48 95 73,Lucie Fournier,,137
04.20.11.93.79,Toussaint Thierry,,194
232038034,Matthieu Muller,,298
+33(0)485187940,Reynaud Élodie,,432
466294872,Adrien Chauvin,adrien.chauvin@dbmail.com,128
03.88.49.86.31,Lucy Potier,,256
+33146773873,Émilie Merle,,424
05 47 58 02 58,Bernadette Regnier,bernadette.regnier@wanadoo.fr,363
0173442236,LEBLANC ÉLÉONORE,éléonore.leblanc@gmail.com,286
02.41.31.40.12,Emmanuelle Marques,emmanuelle.marques@live.com,241
467450682,Antoine Toussaint,,420
04.93.57.24.25,Christophe Martins,,336
03.66.92.42.87,RENÉ BONNIN,,285
+33(0)458056934,Lebreton Antoinette,,173
249332381,DUPUY RÉMY,,475
499429649,Sébastien Dupont,sébastien.dupont@hotmail.fr,158
516089886,HONORÉ FERNANDES,honoré.fernandes@voila.fr,90
0438106677,Alice Teixeira,,247
+33(0)246254977,NOËL RENAUD,noël.renaud@orange.fr,456
+33498343350,Danielle Riou,,285
03 83 21 36 29,DELMAS ISAAC,isaac.delmas@hotmail.fr,172
04.95.63.71.42,Jacques Alves,,399
557447432,Rémy Richard,rémy.richard@laposte.net,260
+33(0)489742720,Boyer Diane,,86
545160975,Geneviève Le Goff,,472
01 58 75 45 38,Olivie Bouchet,olivie.bouchet@orange.fr,500
02.22.26.19.00,Paul Bourgeois,,67
02 51 82 34 67,Lefebvre Dominique,,168
389712079,Louis Martineau,,273
02 50 03 46 24,Hernandez Gilles,,401
483573817,ALEXANDRIE ANTOINE,,256
0299914279,Théophile Parent,théophile.parent@tiscali.fr,252
04.72.41.92.31,Émilie Langlois,émilie.langlois@laposte.net,290
+33327909566,Françoise Schneider,,499
0148012975,Arnaud Adèle,,160
03 85 31 24 47,LECOQ NATHALIE,nathalie.lecoq@hotmail.fr,476
01.76.24.47.63,Fournier Lorraine,lorraine.fournier@orange.fr,178
+33(0)141107067,Clerc Claire,,149
04.15.82.26.64,Lacombe François,,219
01.42.49.87.25,LEFORT ODETTE,,177
+33(0)144629957,NAVARRO AGNÈS,agnès.navarro@voila.fr,55
02 53 78 32 41,Virginie Blot,virginie.blot@wanadoo.fr,451
01.77.05.15.51,EVRARD INÈS,inès.evrard@wanadoo.fr,110
0251762249,Lamy Alfred,,309
05 59 97 22 68,Costa Antoinette,,386
03 79 40 39 65,Gonzalez Aurore,aurore.gonzalez@gmail.com,198
03 55 33 72 16,Étienne Jean,,179
01 83 33 66 30,Daniel Dupont,,401
0299015688,BRUNET LÉON,,293
04.79.37.86.57,Pottier Olivier,,17
03.76.46.55.49,Rodrigues Luc,,256
480800169,LECOMTE THÉODORE,théodore.lecomte@noos.fr,460
297300610,CHARRIER CHRISTINE,christine.charrier@laposte.net,135
326792285,Traore Pénélope,pénélope.traore@ifrance.com,339
297991778,Adélaïde Texier,,108
02.99.36.05.03,Gimenez Christine,,469
0299094581,Andrée Martin,andrée.martin@noos.fr,386
524326606,Mathieu Camille,,474
01 79 53 38 69,Diaz André,,108
03 64 41 72 48,Pages Christelle,christelle.pages@bouygtel.fr,296
0234081247,Voisin Aurélie,,96
+33487525086,RENAULT CAROLINE,caroline.renault@sfr.fr,199
277721182,Valérie Hebert,valérie.hebert@ifrance.com,248
0354479122,Édouard Bouvier,édouard.bouvier@noos.fr,344
323661904,Georges Blondel,,286
04 87 21 14 25,Alphonse Adam,alphonse.adam@ifrance.com,491
+33324143276,BOUCHER AURÉLIE,,406
05.58.46.33.67,PAUL PEREZ,paul.perez@club-internet.fr,394
0231313131,TANGUY ISABELLE,,411
486913860,Schmitt Paulette,,334
03 81 17 27 05,Aubry Bertrand,bertrand.aubry@ifrance.com,247
03 75 99 10 77,CARRE MARINE,marine.carre@sfr.fr,456
423711251,Riou Audrey,,364
03.85.34.11.87,Lemaire Henriette,,365
261882164,Giraud Arthur,arthur.giraud@laposte.net,31
344062885,Élodie Bigot,élodie.bigot@dbmail.com,401
03.76.65.98.08,Suzanne François,,161
+33427753234,Coste Étienne,,397
04 57 54 32 27,Fabre Lucas,,10
03.60.60.89.40,DUFOUR MAURICE,maurice.dufour@dbmail.com,211
384807886,Philippe Legendre,,249
04 27 89 28 03,Roche Catherine,,321
355139782,William Jacquet,,278
+33(0)472662260,Patricia Marques,,296
+33228538414,CATHERINE TEIXEIRA,,85
03 87 54 15 63,OLIVIE CORDIER,,265
0179659709,Stéphane Alexandre,,75
01.48.77.38.81,Margaret Nguyen,,249
04.50.94.24.74,ADRIEN LELIÈVRE,,166
0240435557,Lucy Ferrand,,469
+33(0)143491729,MARÉCHAL ÉLISABETH,,196
296386372,Roy Michelle,michelle.roy@orange.fr,397
482059656,Gabriel Adam,,227
05 46 67 47 40,Lucy Vasseur,,266
234488797,MERLE AUGUSTIN,augustin.merle@ifrance.com,283
03 54 81 47 48,ALEXANDRE MARINE,marine.alexandre@ifrance.com,239
323089279,LAURENCE MICHAUD,,377
+33389424276,Dos Santos Roland,,487
01 39 29 85 48,Louis Lévy,louis.lévy@orange.fr,344
04.22.15.17.11,Laurent Aimé,aimé.laurent@tiscali.fr,416
0582116976,Rolland Édouard,édouard.rolland@noos.fr,145
0175076016,Marine Traore,,195
01.49.18.63.90,JOUBERT LÉON,léon.joubert@noos.fr,378
256398131,Marcel Rodriguez,,295
05.49.11.58.35,Danielle De Sousa,danielle.desousa@hotmail.fr,182
493136653,Claude Dupuy,claude.dupuy@tiscali.fr,311
139666210,Bailly Alexandrie,,298
+33176203688,Lemonnier Margaret,,313
03 63 65 33 57,LAGARDE JULES,,474
359200475,ÉDOUARD ROUSSEAU,,357
+33143374760,COLLET LUCY,lucy.collet@hotmail.fr,123
05 62 84 93 81,Lebon Thérèse,thérèse.lebon@live.com,332
+33223580240,Odette Guyot,,183
05.24.57.25.96,LANGLOIS ANDRÉE,andrée.langlois@tiscali.fr,239
444286333,Robert Merle,,307
0243813777,Samson Christiane,,430
+33806508333,Charles Robert,,133
+33145745497,Vallet Adélaïde,adélaïde.vallet@hotmail.fr,184
0354854301,PIERRE PARIS,,154
562290693,Duhamel Anne,anne.duhamel@sfr.fr,98
03 83 93 73 99,Timothée Laporte,timothée.laporte@live.com,405
368507573,FOUCHER MARINE,marine.foucher@hotmail.fr,72
+33(0)362200263,Laine Christelle,,201
+33(0)214580476,Lucas Didier,lucas.didier@tiscali.fr,471
01.81.02.74.20,Allard Paulette,,491
232416774,Costa Bertrand,bertrand.costa@voila.fr,463
0499195840,MARYSE MERCIER,,420
03 88 38 77 05,Torres Danielle,,413
+33219200256,BERTRAND CORDIER,,340
475898569,Victor Guilbert,victor.guilbert@tele2.fr,150
03.79.48.32.15,Launay Aurélie,aurélie.launay@free.fr,90
05 33 83 21 51,Bonnin Olivier,,167
02 23 96 63 24,Bernadette Olivier,bernadette.olivier@free.fr,56
241033988,Gay Gilbert,,201
04.67.77.84.80,Mathilde Bodin,mathilde.bodin@tiscali.fr,443
02.97.59.58.06,Chauveau Patrick,patrick.chauveau@live.com,191
03 53 59 10 49,Verdier Thérèse,,115
+33(0)140698003,Fischer Camille,,11
379982285,Pons Alexandre,,375
04 88 15 66 45,Bertrand Grenier,bertrand.grenier@gmail.com,445
04 91 94 55 35,Leroy Zacharie,zacharie.leroy@ifrance.com,54
03.62.19.44.96,NATHALIE ROUX,,485
241001432,Fischer Thibault,,269
579738889,ADAM SOPHIE,sophie.adam@sfr.fr,415
0479533994,Hardy Augustin,,225
02 97 69 67 82,Margot Bailly,margot.bailly@sfr.fr,458
0549490450,Mendès André,,317
+33(0)261796412,RÉMY LAINE,,52
0497134583,Olivie Boutin,,302
01.82.09.28.35,Roger Adrienne,adrienne.roger@hotmail.fr,273
0369866033,Julien Gilbert,,454
04.57.26.86.80,DESCAMPS ALEXANDRE,alexandre.descamps@wanadoo.fr,394
05 08 72 11 12,Anne Muller,,28
+33380598038,GAUTIER ZACHARIE,zacharie.gautier@club-internet.fr,120
02.58.92.99.54,GALLET PÉNÉLOPE,,439
04.93.80.73.25,PERRIN JACQUES,jacques.perrin@tele2.fr,193
+33536477520,Alfred Leblanc,,233
03.58.35.81.79,Lefèvre Virginie,virginie.lefèvre@gmail.com,228
482273329,Baudry Anouk,anouk.baudry@live.com,75
02 58 35 48 78,ALIX MORVAN,,183
279472037,MOREAU HENRI,,332
02.58.71.38.31,Delahaye Hortense,hortense.delahaye@bouygtel.fr,364
169396394,Marc Blanc,marc.blanc@orange.fr,147
01 39 21 71 91,Zacharie Cohen,,286
05.94.36.88.27,Texier Alfred,,337
+33256444803,Weiss Jacqueline,jacqueline.weiss@wanadoo.fr,228
247722555,CÉLINE PARENT,,33
0495080196,Hoarau Nicolas,nicolas.hoarau@club-internet.fr,28
0554374209,Morel Luc,luc.morel@free.fr,180
420751588,Théodore Valentin,,257
164589044,Samson Madeleine,madeleine.samson@yahoo.fr,390
02.58.29.92.20,Ferrand Jeanne,,413
562314812,Cousin Margaud,,416
438435368,Blondel Claude,,78
03 29 93 90 84,Marcelle Rodriguez,,466
458239539,Lecoq Alain,,329
04.20.42.16.45,Launay Maryse,maryse.launay@tele2.fr,149
01 40 26 80 07,MARGAUD FOUQUET,margaud.fouquet@free.fr,27
03.85.78.98.36,Adam Guillaume,,180
148646048,Laporte Isaac,,81
+33253735221,Dorothée Blanchard,dorothée.blanchard@club-internet.fr,93
05.96.10.79.06,Alexandre Bernier,,283
05.45.18.14.33,Pénélope Benoit,,144
03.24.21.54.95,ASTRID GUIBERT,,314
03.72.91.21.67,François Martin,,365
03.82.29.92.87,PRÉVOST LUCIE,,138
0384055683,ADRIENNE DURAND,,181
0532934371,GUY LAMY,,380
344183360,Philippe Laurence,,364
+33(0)130672715,Laure Léger,laure.léger@tiscali.fr,244
02 98 65 38 73,Traore Benjamin,,475
0518824452,Alex Couturier,alex.couturier@orange.fr,235
0368154545,Dupré Sabine,sabine.dupré@dbmail.com,218
0244500864,Vallet Suzanne,suzanne.vallet@dbmail.com,374
140927973,Jacquot Philippine,,374
+33(0)533560632,Wagner Adrienne,,337
0450501367,Édith Pruvost,édith.pruvost@laposte.net,401
01 83 35 73 64,Durand Maurice,maurice.durand@tiscali.fr,362
01 78 11 79 54,AURÉLIE GUILLON,,160
479999055,Munoz Bernard,bernard.munoz@hotmail.fr,173
02 30 60 77 92,Cécile Klein,,151
05.49.79.25.77,Gabrielle Dos Santos,,73
01.64.54.44.34,Patrick Ruiz,,497
468336522,GUÉRIN THÉODORE,,249
01 64 43 01 24,Vaillant Émile,,269
174209052,Vallet Emmanuel,,497
372612113,DANIEL LUCIE,,302
03.56.92.84.07,Jules Bruneau,jules.bruneau@club-internet.fr,356
+33219620000,Simone Fernandez,simone.fernandez@sfr.fr,421
0422850428,Charlotte Guyon,charlotte.guyon@wanadoo.fr,269
236374496,ROBERT ALVES,,466
04 26 47 11 09,Lacombe Marc,,428
03 39 87 79 88,Barre Alexandre,,15
04 77 28 14 50,Weber Nathalie,,402
0251706534,BOULANGER MARCELLE,,329
01.79.98.52.61,BOULANGER OCÉANE,océane.boulanger@noos.fr,334
01.88.98.00.84,Rocher Maryse,,365
02.62.24.95.89,Royer Marine,marine.royer@free.fr,53
03 70 22 99 33,Couturier René,rené.couturier@gmail.com,147
+33233802075,Colas Madeleine,,217
03.67.81.37.74,Andre Éléonore,éléonore.andre@dbmail.com,302
04 43 06 37 02,LEMOINE ANTOINE,,473
0387757837,Adèle Allain,,115
+33(0)145760456,Moreau Patrick,,143
0221940929,Astrid Marty,,345
02.23.61.30.13,Adèle Descamps,,177
479631783,Rémy Christophe,,356
03.51.84.81.57,Joubert Laetitia,,476
498757801,AGATHE LEMOINE,agathe.lemoine@club-internet.fr,36
04.72.73.30.29,Thibault Bernard,bernard.thibault@sfr.fr,495
328316770,TIMOTHÉE ROCHER,timothée.rocher@dbmail.com,273
590885200,CÉLINE VASSEUR,,495
04 22 55 45 62,HARDY ALEX,alex.hardy@bouygtel.fr,157
+33254990430,Alexandrie Navarro,alexandrie.navarro@sfr.fr,175
+33(0)549718493,ADRIENNE KLEIN,,358
02 49 14 60 25,Bousquet Christophe,,313
01.83.72.22.73,Théophile Neveu,,205
+33423862800,Charles Simon,,110
04.70.51.25.49,EVRARD THIERRY,thierry.evrard@ifrance.com,121
+33344762316,ÉLÉONORE PERRIN,éléonore.perrin@free.fr,127
+33(0)474055101,Brigitte Valentin,,395
364303190,MOREL AUGUSTIN,,126
427428863,Foucher Maryse,,428
0434753177,LECOMTE GABRIELLE,,111
491733435,Joséphine David,,243
553787543,CHRISTIANE BARTHELEMY,,479
558054539,Cordier Noël,noël.cordier@hotmail.fr,491
03.72.54.67.36,Delannoy Paulette,paulette.delannoy@yahoo.fr,176
04.74.90.64.99,ARTHUR LAPORTE,arthur.laporte@hotmail.fr,101
02.32.38.76.66,Camille Aubry,,340
03.75.19.86.96,ÉMILIE PETIT,,443
233297895,GIRARD CATHERINE,catherine.girard@noos.fr,500
229660366,Élise Moulin,élise.moulin@noos.fr,128
+33549587501,Grenier Adélaïde,,11
02 40 64 12 66,Jacques Gomes,jacques.gomes@bouygtel.fr,62
352999479,Bertin Valentine,,157
02.36.88.97.08,Weber Jeanne,,357
03.84.19.30.14,Aimée Brunet,aimée.brunet@laposte.net,401
05 81 75 87 25,Marianne Guillet,marianne.guillet@tele2.fr,416
+33235732200,Louis Valentine,,149
0467713294,Paulette Tanguy,,365
01.77.28.38.99,PAULETTE MARTY,,284
04.11.85.16.64,Charrier Marine,,312
04.26.54.48.44,MAILLARD WILLIAM,william.maillard@orange.fr,46
05 81 62 18 96,HERVÉ CHANTAL,,314
156518906,THIERRY AUBERT,thierry.aubert@noos.fr,108
05.59.68.99.15,Thibaut Prévost,,222
262558136,Jules Potier,,354
360321051,Laurence Pichon,laurence.pichon@voila.fr,172
+33484787840,François Guibert,,462
474605453,LABBÉ MARCELLE,,107
+33(0)476620761,DIALLO CHRISTIANE,christiane.diallo@club-internet.fr,70
0245725512,Jacquot Simone,simone.jacquot@tele2.fr,420
+33430156818,Paris Frédérique,frédérique.paris@wanadoo.fr,162
590231127,ÉMILE HOAREAU,,326
05.58.85.81.82,Merle Roland,roland.merle@wanadoo.fr,351
02 48 98 59 81,SUZANNE WAGNER,suzanne.wagner@hotmail.fr,41
+33(0)322055940,Chevallier Inès,,74
+33380121699,BARON GÉRARD,gérard.baron@orange.fr,261
250769526,NICOLAS LACOMBE,,82
0249580633,Stéphanie Clément,stéphanie.clément@bouygtel.fr,112
0458502948,Laure Laroche,,463
0494847559,Barre Danielle,,86
+33562315881,Peltier Emmanuelle,,309
320842465,Wagner Dorothée,,150
02.34.21.65.88,Martin Arnaud,,310
471167035,Clerc Stéphane,,158
04.82.36.44.22,Isaac Joubert,isaac.joubert@yahoo.fr,334
0148209301,Margaux Bodin,margaux.bodin@tele2.fr,350
02.46.70.59.15,Lévêque Aimée,aimée.lévêque@laposte.net,48
02 37 76 16 30,Adèle Valentin,adèle.valentin@sfr.fr,196
+33321855565,Dominique Rousseau,dominique.rousseau@wanadoo.fr,134
03.10.73.01.42,Denise Boucher,,105
+33253938237,Teixeira Alphonse,alphonse.teixeira@hotmail.fr,80
02.85.42.46.28,Victoire Roussel,,179
465400618,Daniel Guérin,,318
02.53.02.46.85,Lelièvre Inès,,360
02.40.47.98.31,Lemonnier Jeannine,jeannine.lemonnier@wanadoo.fr,251
02.32.37.79.01,Cordier Anaïs,anaïs.cordier@club-internet.fr,310
02.40.94.35.52,Paul Noël,,64
249648352,Diane Duval,,315
556040352,Aurélie Joseph,,454
0368311249,CAPUCINE PINTO,capucine.pinto@orange.fr,327
05 62 60 21 02,Perrot Julien,,248
02.58.35.04.12,Guyot Jean,jean.guyot@bouygtel.fr,371
04.72.78.87.99,Antoine Benjamin,benjamin.antoine@bouygtel.fr,242
0450903880,Jules Guillet,,99
0482731255,CAROLINE GIRAUD,,294
02 55 26 02 35,HUBERT ADÉLAÏDE,adélaïde.hubert@hotmail.fr,140
+33(0)255332595,Joseph Margaret,,75
222855666,JOSETTE FAIVRE,,252
465370566,Sylvie François,sylvie.françois@bouygtel.fr,143
03.59.18.38.70,Martins Jeanne,jeanne.martins@ifrance.com,399
+33160959310,Michelle Hervé,,163
